[2023-3-22 14:37:59] 	 ⚡: RP6-R9SiRJRUUyaAAAAB connected
[2023-3-22 14:52:34] 	 🟠: subhan went offline
[2023-3-22 14:52:34] 	 🟢: subhan went online
[2023-3-22 14:52:35] 	 🟠: subhan went offline
[2023-3-22 14:52:35] 	 🟢: subhan went online
[2023-3-22 14:52:38] 	 🟢: subhan went online
[2023-3-22 14:52:38] 	 🟠: subhan went offline
[2023-3-22 14:52:41] 	 🟠: subhan went offline
[2023-3-22 14:53:16] 	 🟢: subhan went online
[2023-3-22 14:53:17] 	 🔥: 1bp8vx9-5TShB_zfAAAR disconnected
[2023-3-22 14:53:17] 	 ➖: subhan left 7ca454
[2023-3-22 14:53:19] 	 ⚡: OOJy4z-wIfsZ3se0AAAT connected
[2023-3-22 14:53:19] 	 🔃: subhan rejoined 7ca454
[2023-3-22 14:53:21] 	 🟢: subhan went online
[2023-3-22 14:53:21] 	 🟠: subhan went offline
[2023-3-22 14:53:23] 	 🟠: subhan went offline
[2023-3-22 14:53:37] 	 🟢: subhan went online
[2023-3-22 14:53:37] 	 🔥: OOJy4z-wIfsZ3se0AAAT disconnected
[2023-3-22 14:53:37] 	 ➖: subhan left 7ca454
[2023-3-22 14:53:39] 	 ⚡: ZwK7CZrHMIPSxbhzAAAV connected
[2023-3-22 14:53:39] 	 🔃: subhan rejoined 7ca454
[2023-3-22 14:53:42] 	 🟠: subhan went offline
[2023-3-22 14:53:42] 	 🟢: subhan went online
[2023-3-22 14:53:45] 	 🟠: subhan went offline
[2023-3-22 14:55:44] 	 🟢: subhan went online
[2023-3-22 14:55:45] 	 🟠: subhan went offline
[2023-3-22 14:55:45] 	 🟢: subhan went online
[2023-3-22 14:55:46] 	 🟢: subhan went online
[2023-3-22 14:55:46] 	 🟠: subhan went offline
[2023-3-22 14:55:49] 	 🟠: subhan went offline
[2023-3-22 14:55:59] 	 🟢: subhan went online
[2023-3-22 14:56:1] 	 🟢: subhan went online
[2023-3-22 14:56:1] 	 🟠: subhan went offline
[2023-3-22 14:56:21] 	 🔥: ZwK7CZrHMIPSxbhzAAAV disconnected
[2023-3-22 14:56:21] 	 ➖: subhan left 7ca454
[2023-3-22 14:56:34] 	 ⚡: HHPuX6tdIOS4simvAAAX connected
[2023-3-22 14:56:34] 	 🔃: subhan rejoined 7ca454
[2023-3-22 14:56:37] 	 🟢: subhan went online
[2023-3-22 14:56:37] 	 🟠: subhan went offline
[2023-3-22 14:56:49] 	 🔥: HHPuX6tdIOS4simvAAAX disconnected
[2023-3-22 14:56:49] 	 ➖: subhan left 7ca454
[2023-3-22 14:56:51] 	 ⚡: 7GQfG31lbU9QfRpUAAAZ connected
[2023-3-22 14:56:51] 	 🔃: subhan rejoined 7ca454
[2023-3-22 14:56:53] 	 🟢: subhan went online
[2023-3-22 14:56:53] 	 🟠: subhan went offline
[2023-3-22 14:57:7] 	 🔥: 7GQfG31lbU9QfRpUAAAZ disconnected
[2023-3-22 14:57:7] 	 ➖: subhan left 7ca454
[2023-3-22 14:57:10] 	 ⚡: 4dSXNZ6jHOFl_Yw8AAAb connected
[2023-3-22 14:57:10] 	 🔃: subhan rejoined 7ca454
[2023-3-22 14:57:12] 	 🟢: subhan went online
[2023-3-22 14:57:12] 	 🟠: subhan went offline
[2023-3-22 14:57:15] 	 🟠: subhan went offline
[2023-3-22 14:58:19] 	 🟢: subhan went online
[2023-3-22 14:58:28] 	 🟠: subhan went offline
[2023-3-22 14:58:33] 	 🟢: subhan went online
[2023-3-22 14:58:45] 	 🟢: subhan went online
[2023-3-22 14:58:45] 	 🟠: subhan went offline
[2023-3-22 14:58:46] 	 🟠: subhan went offline
[2023-3-22 15:1:9] 	 ⚡: ctaIbLNSzG_bwckOAAAB connected
[2023-3-22 15:1:35] 	 🔥: ctaIbLNSzG_bwckOAAAB disconnected
[2023-3-22 15:6:35] 	 ⚡: ZEn8Kw36W-_5BoFBAAAD connected
[2023-3-22 15:6:35] 	 🔃: subhan rejoined 7ca454
[2023-3-22 15:6:43] 	 🟠: subhan went offline
[2023-3-22 15:6:50] 	 🟢: subhan went online
[2023-3-22 15:6:52] 	 🟠: subhan went offline
[2023-3-22 15:7:6] 	 🟢: subhan went online
[2023-3-22 15:7:9] 	 🟠: subhan went offline
[2023-3-22 15:8:19] 	 🟢: subhan went online
[2023-3-22 15:8:25] 	 🟠: subhan went offline
[2023-3-22 15:8:43] 	 🟢: subhan went online
[2023-3-22 15:8:45] 	 🟠: subhan went offline
[2023-3-22 15:8:46] 	 🟢: subhan went online
[2023-3-22 15:8:46] 	 🔥: ZEn8Kw36W-_5BoFBAAAD disconnected
[2023-3-22 15:8:46] 	 ➖: subhan left 7ca454
[2023-3-22 15:8:48] 	 ⚡: 9i0MdSb-9ze_HQRHAAAF connected
[2023-3-22 15:8:48] 	 🔃: subhan rejoined 7ca454
[2023-3-22 15:8:56] 	 🟠: subhan went offline
[2023-3-22 15:9:59] 	 🟢: subhan went online
[2023-3-22 15:10:3] 	 🟠: subhan went offline
[2023-3-22 15:10:4] 	 🟢: subhan went online
[2023-3-22 15:10:10] 	 🟠: subhan went offline
[2023-3-22 15:10:14] 	 🟢: subhan went online
[2023-3-22 15:10:21] 	 🟠: subhan went offline
[2023-3-22 15:10:29] 	 🟢: subhan went online
[2023-3-22 15:10:34] 	 🟠: subhan went offline
[2023-3-22 15:11:35] 	 🟢: subhan went online
[2023-3-22 15:11:42] 	 🟠: subhan went offline
[2023-3-22 15:12:20] 	 🟢: subhan went online
[2023-3-22 15:12:24] 	 🟠: subhan went offline
[2023-3-22 15:12:28] 	 🟢: subhan went online
[2023-3-22 15:12:32] 	 🟠: subhan went offline
[2023-3-22 15:13:22] 	 🟢: subhan went online
[2023-3-22 15:13:25] 	 🟠: subhan went offline
[2023-3-22 15:13:45] 	 🔥: 9i0MdSb-9ze_HQRHAAAF disconnected
[2023-3-22 15:13:45] 	 ➖: subhan left 7ca454
[2023-3-22 15:14:31] 	 ⚡: VLi09Ink-UcVHZjlAAAH connected
[2023-3-22 15:14:31] 	 🔃: subhan rejoined 7ca454
[2023-3-22 15:14:33] 	 🔥: VLi09Ink-UcVHZjlAAAH disconnected
[2023-3-22 15:14:33] 	 ➖: subhan left 7ca454
[2023-3-22 15:14:47] 	 ⚡: kO-BduFX47s8BeN5AAAJ connected
[2023-3-22 15:14:47] 	 🔃: subhan rejoined 7ca454
[2023-3-22 15:14:50] 	 🟠: subhan went offline
[2023-3-22 15:14:50] 	 🟢: subhan went online
[2023-3-22 15:14:52] 	 🟠: subhan went offline
[2023-3-22 15:15:0] 	 🟢: subhan went online
[2023-3-22 15:15:12] 	 🟠: subhan went offline
[2023-3-22 15:15:18] 	 🟢: subhan went online
[2023-3-22 15:15:20] 	 ➖: subhan left 7ca454
[2023-3-22 15:15:20] 	 🔥: kO-BduFX47s8BeN5AAAJ disconnected
[2023-3-22 15:15:22] 	 ⚡: OX8b4cEVUKCaFppbAAAL connected
[2023-3-22 15:15:22] 	 🔃: subhan rejoined 7ca454
[2023-3-22 15:15:24] 	 🟠: subhan went offline
[2023-3-22 15:15:24] 	 🟢: subhan went online
[2023-3-22 15:15:27] 	 🟢: subhan went online
[2023-3-22 15:15:28] 	 🟠: subhan went offline
[2023-3-22 15:15:33] 	 🟠: subhan went offline
[2023-3-22 15:16:51] 	 🟢: subhan went online
[2023-3-22 15:16:57] 	 🟠: subhan went offline
[2023-3-22 15:18:5] 	 🟢: subhan went online
[2023-3-22 15:18:5] 	 ➖: undefined left undefined
[2023-3-22 15:18:5] 	 🔥: OX8b4cEVUKCaFppbAAAL disconnected
[2023-3-22 15:18:38] 	 ⚡: IWJCHraGdjpmXz8xAAAN connected
[2023-3-22 15:18:38] 	 ➕: subhan joined cc5f8c
[2023-3-22 15:18:42] 	 🟠: subhan went offline
[2023-3-22 15:19:22] 	 🟢: subhan went online
[2023-3-22 15:19:22] 	 🔥: IWJCHraGdjpmXz8xAAAN disconnected
[2023-3-22 15:19:22] 	 ➖: subhan left cc5f8c
[2023-3-22 15:19:24] 	 ⚡: yY30ANjjWrEAQONVAAAP connected
[2023-3-22 15:19:24] 	 🔃: subhan rejoined cc5f8c
[2023-3-22 15:19:27] 	 🟠: subhan went offline
[2023-3-22 15:20:44] 	 🟢: subhan went online
[2023-3-22 15:20:45] 	 ➖: undefined left undefined
[2023-3-22 15:20:45] 	 🔥: yY30ANjjWrEAQONVAAAP disconnected
[2023-3-22 15:20:50] 	 ⚡: fxmObL_Eew0XLhNoAAAR connected
[2023-3-22 15:20:50] 	 ➕: subhan joined 48b9f5
[2023-3-22 15:20:52] 	 🟠: subhan went offline
[2023-3-22 15:20:58] 	 🟢: subhan went online
[2023-3-22 15:21:0] 	 🟠: subhan went offline
[2023-3-22 15:21:31] 	 🟢: subhan went online
[2023-3-22 15:21:35] 	 🟠: subhan went offline
[2023-3-22 15:21:38] 	 🟢: subhan went online
[2023-3-22 15:21:39] 	 🔥: fxmObL_Eew0XLhNoAAAR disconnected
[2023-3-22 15:21:39] 	 ➖: subhan left 48b9f5
[2023-3-22 15:21:41] 	 ⚡: _wfDi6iK-TWh5YpMAAAT connected
[2023-3-22 15:21:41] 	 🔃: subhan rejoined 48b9f5
[2023-3-22 15:21:43] 	 🟠: subhan went offline
[2023-3-22 15:21:43] 	 🟢: subhan went online
[2023-3-22 15:21:44] 	 🟠: subhan went offline
[2023-3-22 15:21:58] 	 🟢: subhan went online
[2023-3-22 15:21:58] 	 🔥: _wfDi6iK-TWh5YpMAAAT disconnected
[2023-3-22 15:21:58] 	 ➖: subhan left 48b9f5
[2023-3-22 15:22:0] 	 ⚡: FsBap4PCXXcAJbVbAAAV connected
[2023-3-22 15:22:0] 	 🔃: subhan rejoined 48b9f5
[2023-3-22 15:22:3] 	 🟠: subhan went offline
[2023-3-22 15:22:3] 	 🟢: subhan went online
[2023-3-22 15:22:4] 	 🟠: subhan went offline
[2023-3-22 15:22:18] 	 🟢: subhan went online
[2023-3-22 15:22:19] 	 ➖: undefined left undefined
[2023-3-22 15:22:19] 	 🔥: FsBap4PCXXcAJbVbAAAV disconnected
[2023-3-22 15:25:9] 	 ⚡: yucytjLOac8Ox9JNAAAX connected
[2023-3-22 15:25:9] 	 ➕: subhan joined 1493d3
[2023-3-22 15:25:24] 	 ⚡: f97UWwpLY5N57k0fAAAZ connected
[2023-3-22 15:25:24] 	 🔃: subhan rejoined 1493d3
[2023-3-22 15:25:26] 	 🟠: subhan went offline
[2023-3-22 15:25:27] 	 🟢: subhan went online
[2023-3-22 15:25:30] 	 🔥: yucytjLOac8Ox9JNAAAX disconnected
[2023-3-22 15:25:30] 	 🔥: f97UWwpLY5N57k0fAAAZ disconnected
[2023-3-22 15:25:30] 	 ➖: subhan left 1493d3
[2023-3-22 15:25:32] 	 ⚡: OA4C71go02F5ewA-AAAb connected
[2023-3-22 15:25:32] 	 🔃: subhan rejoined 1493d3
[2023-3-22 15:25:38] 	 🟠: subhan went offline
[2023-3-22 15:26:21] 	 🟢: subhan went online
[2023-3-22 15:26:21] 	 🟢: subhan went online
[2023-3-22 15:26:23] 	 🟠: subhan went offline
[2023-3-22 15:26:23] 	 🟠: subhan went offline
[2023-3-22 15:33:43] 	 ➖: subhan left 1493d3
[2023-3-22 15:33:43] 	 🔥: OA4C71go02F5ewA-AAAb disconnected
[2023-3-22 15:33:45] 	 ⚡: ZwTiA2FjoYnUpEWfAAAd connected
[2023-3-22 15:33:45] 	 🔃: subhan rejoined 1493d3
[2023-3-22 15:33:52] 	 ⚡: JnwNXNEdEnloJBb3AAAf connected
[2023-3-22 15:33:52] 	 🔃: subhan rejoined 1493d3
[2023-3-22 15:33:56] 	 🟠: subhan went offline
[2023-3-22 15:34:0] 	 🟢: subhan went online
[2023-3-22 15:34:0] 	 🔥: ZwTiA2FjoYnUpEWfAAAd disconnected
[2023-3-22 15:34:0] 	 ➖: subhan left 1493d3
[2023-3-22 15:34:0] 	 🔥: JnwNXNEdEnloJBb3AAAf disconnected
[2023-3-22 15:34:1] 	 ⚡: GNVFTerRS7kaDL3MAAAh connected
[2023-3-22 15:34:1] 	 🔃: subhan rejoined 1493d3
[2023-3-22 15:34:3] 	 🟠: subhan went offline
[2023-3-22 15:34:5] 	 🟢: subhan went online
[2023-3-22 15:34:6] 	 🟠: subhan went offline
[2023-3-22 15:34:29] 	 🟢: subhan went online
[2023-3-22 15:34:33] 	 🔥: GNVFTerRS7kaDL3MAAAh disconnected
[2023-3-22 15:34:33] 	 ➖: subhan left 1493d3
[2023-3-22 15:34:34] 	 ⚡: Xe-U1WKuxsz7Vl9zAAAj connected
[2023-3-22 15:34:34] 	 🔃: subhan rejoined 1493d3
[2023-3-22 15:34:37] 	 🟢: subhan went online
[2023-3-22 15:34:37] 	 🟠: subhan went offline
[2023-3-22 15:34:39] 	 🟠: subhan went offline
[2023-3-22 15:34:58] 	 🟢: subhan went online
[2023-3-22 15:34:58] 	 🔥: Xe-U1WKuxsz7Vl9zAAAj disconnected
[2023-3-22 15:34:58] 	 ➖: subhan left 1493d3
[2023-3-22 15:35:0] 	 ⚡: qfOdv_2FRcojuelSAAAl connected
[2023-3-22 15:35:0] 	 🔃: subhan rejoined 1493d3
[2023-3-22 15:35:3] 	 🟠: subhan went offline
[2023-3-22 15:37:4] 	 ⚡: 89MUqrNmgEFsCchtAAAn connected
[2023-3-22 15:37:4] 	 🔃: subhan rejoined 1493d3
[2023-3-22 15:37:8] 	 🟠: subhan went offline
[2023-3-22 15:37:13] 	 🟢: subhan went online
[2023-3-22 15:37:14] 	 🟠: subhan went offline
[2023-3-22 15:37:16] 	 🟢: subhan went online
[2023-3-22 15:37:19] 	 🔥: qfOdv_2FRcojuelSAAAl disconnected
[2023-3-22 15:37:19] 	 🔥: 89MUqrNmgEFsCchtAAAn disconnected
[2023-3-22 15:37:19] 	 ➖: subhan left 1493d3
[2023-3-22 15:37:21] 	 ⚡: VjULK7MYWvnPD-CbAAAp connected
[2023-3-22 15:37:21] 	 🔃: subhan rejoined 1493d3
[2023-3-22 15:37:24] 	 🟠: subhan went offline
[2023-3-22 15:37:29] 	 🟢: subhan went online
[2023-3-22 15:37:34] 	 🟠: subhan went offline
[2023-3-22 15:37:35] 	 🟢: subhan went online
[2023-3-22 15:37:36] 	 🟠: subhan went offline
[2023-3-22 15:37:51] 	 🟢: subhan went online
[2023-3-22 15:37:54] 	 🟠: subhan went offline
[2023-3-22 15:38:5] 	 🟢: subhan went online
[2023-3-22 15:38:7] 	 🟠: subhan went offline
[2023-3-22 15:38:59] 	 🟢: subhan went online
[2023-3-22 15:39:0] 	 🟠: subhan went offline
[2023-3-22 15:39:48] 	 🟢: subhan went online
[2023-3-22 15:39:50] 	 🟠: subhan went offline
[2023-3-22 15:41:34] 	 ⚡: EZZ4UGGthJk-lseuAAAr connected
[2023-3-22 15:41:34] 	 🔃: subhan rejoined 1493d3
[2023-3-22 15:41:36] 	 🟠: subhan went offline
[2023-3-22 15:41:38] 	 🟢: subhan went online
[2023-3-22 15:41:39] 	 🟠: subhan went offline
[2023-3-22 15:42:8] 	 🟢: subhan went online
[2023-3-22 15:42:8] 	 🔥: VjULK7MYWvnPD-CbAAAp disconnected
[2023-3-22 15:42:8] 	 🔥: EZZ4UGGthJk-lseuAAAr disconnected
[2023-3-22 15:42:8] 	 ➖: subhan left 1493d3
[2023-3-22 15:42:10] 	 ⚡: 8_tUbyZcwbkeSTiHAAAt connected
[2023-3-22 15:42:10] 	 🔃: subhan rejoined 1493d3
[2023-3-22 15:42:13] 	 🟠: subhan went offline
[2023-3-22 15:42:15] 	 🟢: subhan went online
[2023-3-22 15:42:15] 	 🔥: 8_tUbyZcwbkeSTiHAAAt disconnected
[2023-3-22 15:42:15] 	 ➖: subhan left 1493d3
[2023-3-22 15:42:40] 	 ⚡: KRI5ht53j1v7Ln8tAAAv connected
[2023-3-22 15:42:40] 	 🔃: subhan rejoined 1493d3
[2023-3-22 15:42:42] 	 🟠: subhan went offline
[2023-3-22 15:42:48] 	 🟢: subhan went online
[2023-3-22 15:42:49] 	 🔥: KRI5ht53j1v7Ln8tAAAv disconnected
[2023-3-22 15:42:49] 	 ➖: subhan left 1493d3
[2023-3-22 15:42:50] 	 ⚡: WIz1BZXRz4v_r2UMAAAx connected
[2023-3-22 15:42:50] 	 🔃: subhan rejoined 1493d3
[2023-3-22 15:42:53] 	 🟠: subhan went offline
[2023-3-22 15:43:5] 	 🟢: subhan went online
[2023-3-22 15:43:5] 	 🔥: WIz1BZXRz4v_r2UMAAAx disconnected
[2023-3-22 15:43:5] 	 ➖: subhan left 1493d3
[2023-3-22 15:43:7] 	 ⚡: Js-2KyOTOOtjxGQxAAAz connected
[2023-3-22 15:43:7] 	 🔃: subhan rejoined 1493d3
[2023-3-22 15:43:10] 	 🟠: subhan went offline
[2023-3-22 15:43:18] 	 🟢: subhan went online
[2023-3-22 15:43:19] 	 🟠: subhan went offline
[2023-3-22 15:43:19] 	 🟢: subhan went online
[2023-3-22 15:43:20] 	 🟠: subhan went offline
[2023-3-22 15:43:51] 	 🟢: subhan went online
[2023-3-22 15:43:53] 	 🟠: subhan went offline
[2023-3-22 15:43:58] 	 🟢: subhan went online
[2023-3-22 15:44:1] 	 🟠: subhan went offline
[2023-3-22 15:44:11] 	 🟢: subhan went online
[2023-3-22 15:44:12] 	 🟠: subhan went offline
[2023-3-22 15:44:35] 	 🟢: subhan went online
[2023-3-22 15:44:36] 	 🟠: subhan went offline
[2023-3-22 15:44:38] 	 🟢: subhan went online
[2023-3-22 15:44:40] 	 🟠: subhan went offline
[2023-3-22 15:44:42] 	 🟢: subhan went online
[2023-3-22 15:44:44] 	 🟠: subhan went offline
[2023-3-22 15:45:8] 	 ⚡: 9Opfe6EJS1AliLu5AAA1 connected
[2023-3-22 15:45:8] 	 🔃: subhan rejoined 1493d3
[2023-3-22 15:45:12] 	 🟠: subhan went offline
[2023-3-22 15:45:19] 	 🟢: subhan went online
[2023-3-22 15:45:20] 	 🔥: Js-2KyOTOOtjxGQxAAAz disconnected
[2023-3-22 15:45:20] 	 🔥: 9Opfe6EJS1AliLu5AAA1 disconnected
[2023-3-22 15:45:20] 	 ➖: subhan left 1493d3
[2023-3-22 15:45:21] 	 ⚡: lRhWsNkkL7CxSU9RAAA3 connected
[2023-3-22 15:45:21] 	 🔃: subhan rejoined 1493d3
[2023-3-22 15:45:23] 	 🟠: subhan went offline
[2023-3-22 15:45:35] 	 🟢: subhan went online
[2023-3-22 15:45:35] 	 🔥: lRhWsNkkL7CxSU9RAAA3 disconnected
[2023-3-22 15:45:35] 	 ➖: subhan left 1493d3
[2023-3-22 15:48:11] 	 ⚡: qv3fygCBVZ03lBh-AAA5 connected
[2023-3-22 15:48:11] 	 🔃: subhan rejoined 1493d3
[2023-3-22 15:48:14] 	 🔥: qv3fygCBVZ03lBh-AAA5 disconnected
[2023-3-22 15:48:14] 	 ➖: subhan left 1493d3
[2023-3-22 15:51:53] 	 ⚡: BOrF4lHodL8njsIHAAAB connected
[2023-3-22 15:51:53] 	 🔃: subhan rejoined 1493d3
[2023-3-22 15:51:55] 	 🔥: BOrF4lHodL8njsIHAAAB disconnected
[2023-3-22 15:51:55] 	 ➖: subhan left 1493d3
[2023-3-22 15:51:57] 	 ⚡: fAOAx2bIpbvlHjEuAAAD connected
[2023-3-22 15:51:57] 	 🔃: subhan rejoined 1493d3
[2023-3-22 15:52:12] 	 ⚡: RWuSngOFezjSHR9IAAAB connected
[2023-3-22 15:54:55] 	 🔥: RWuSngOFezjSHR9IAAAB disconnected
[2023-3-22 15:55:0] 	 ⚡: L6s-iwo0R_2K8ZE7AAAD connected
[2023-3-22 15:55:0] 	 ➕: asfasfasf joined 301783
[2023-3-22 15:55:4] 	 🔥: L6s-iwo0R_2K8ZE7AAAD disconnected
[2023-3-22 15:55:4] 	 ➖: asfasfasf left 301783
[2023-3-22 15:55:7] 	 ⚡: GkqLNRBNe6vYK2wFAAAF connected
[2023-3-22 15:55:7] 	 🔃: asfasfasf rejoined 301783
[2023-3-22 15:55:9] 	 🟠: asfasfasf went offline
[2023-3-22 15:55:22] 	 ⚡: uHMwT2Irhi5oTET-AAAB connected
[2023-3-22 15:55:29] 	 🔥: uHMwT2Irhi5oTET-AAAB disconnected
[2023-3-22 15:55:29] 	 ⚡: YIJ7RJTAjkMZeiX5AAAD connected
[2023-3-22 15:55:29] 	 ➕: subhan joined a2f37e
[2023-3-22 15:55:31] 	 🟠: subhan went offline
[2023-3-22 15:56:13] 	 🟢: subhan went online
[2023-3-22 15:56:16] 	 🟠: subhan went offline
[2023-3-22 15:58:7] 	 🟢: subhan went online
[2023-3-22 15:58:9] 	 🟠: subhan went offline
[2023-3-22 15:58:24] 	 ⚡: -n2jg4IM0ELUwHvMAAAB connected
[2023-3-22 15:59:11] 	 ⚡: jzXZwmIYLudsxmGZAAAB connected
[2023-3-22 15:59:15] 	 ⚡: o34qOwU40yF6getiAAAB connected
[2023-3-22 15:59:44] 	 ⚡: z9vWmaOby2tVrHx3AAAB connected
[2023-3-22 15:59:47] 	 ⚡: usS95oU4UY_KcCXiAAAB connected
[2023-3-22 15:59:57] 	 ⚡: voTL7sJR9ENxVZA7AAAB connected
[2023-3-22 16:0:0] 	 🟢: subhan went online
[2023-3-22 16:0:3] 	 🔥: voTL7sJR9ENxVZA7AAAB disconnected
[2023-3-22 16:0:6] 	 ⚡: DtCPYuqUjcddP0mKAAAD connected
[2023-3-22 16:0:6] 	 🔃: subhan rejoined a2f37e
[2023-3-22 16:0:7] 	 🟠: subhan went offline
[2023-3-22 16:0:26] 	 ⚡: Sg8X8hPebzbUOMjvAAAB connected
[2023-3-22 16:1:1] 	 🟢: subhan went online
[2023-3-22 16:1:3] 	 🟠: subhan went offline
[2023-3-22 16:1:8] 	 🟢: subhan went online
[2023-3-22 16:1:8] 	 🔥: Sg8X8hPebzbUOMjvAAAB disconnected
[2023-3-22 16:1:10] 	 ⚡: HikBmqhnL5c9jAkRAAAD connected
[2023-3-22 16:1:10] 	 🔃: subhan rejoined a2f37e
[2023-3-22 16:1:12] 	 🟠: subhan went offline
[2023-3-22 16:3:7] 	 ⚡: CtWbzLZpgVXCkT8jAAAB connected
[2023-3-22 16:3:22] 	 🟢: subhan went online
[2023-3-22 16:3:23] 	 🟢: subhan went online
[2023-3-22 16:3:23] 	 🟠: subhan went offline
[2023-3-22 16:3:25] 	 🟠: subhan went offline
[2023-3-22 16:4:6] 	 ⚡: j6_R3smKX68YyoU2AAAB connected
[2023-3-22 16:6:21] 	 ⚡: UY4qBb5cvEBpza9JAAAB connected
[2023-3-22 16:6:32] 	 ⚡: fgNX8UBTpHTgfTzBAAAB connected
[2023-3-22 16:6:36] 	 🟢: subhan went online
[2023-3-22 16:6:41] 	 ⚡: 0GngV-dl68Bcd1hmAAAB connected
[2023-3-22 16:6:41] 	 🟠: subhan went offline
[2023-3-22 16:8:4] 	 ⚡: 2hw1H-kibcifHUG3AAAB connected
[2023-3-22 16:8:18] 	 🟢: subhan went online
[2023-3-22 16:8:23] 	 🟠: subhan went offline
[2023-3-22 16:8:25] 	 🟢: subhan went online
[2023-3-22 16:8:27] 	 🟠: subhan went offline
[2023-3-22 16:8:31] 	 🟢: subhan went online
[2023-3-22 16:8:33] 	 🟠: subhan went offline
[2023-3-22 16:8:37] 	 ⚡: z3vDhF4oMFFJzHGQAAAD connected
[2023-3-22 16:8:37] 	 ➕: deus joined a2f37e
[2023-3-22 16:8:38] 	 🟢: subhan went online
[2023-3-22 16:8:39] 	 🟠: deus went offline
[2023-3-22 16:8:40] 	 🔥: 2hw1H-kibcifHUG3AAAB disconnected
[2023-3-22 16:8:42] 	 🟢: deus went online
